Date,Search,Province
2022-04-18,9.394821288840973,AB
2022-04-19,10.569173949946093,AB
2022-04-20,10.569173949946093,AB
2022-04-21,9.394821288840973,AB
2022-04-22,9.394821288840973,AB
2022-04-23,8.22046862773585,AB
2022-04-24,7.633292297183289,AB
2022-04-25,9.394821288840973,AB
2022-04-26,8.80764495828841,AB
2022-04-27,8.80764495828841,AB
2022-04-28,8.80764495828841,AB
2022-04-29,7.633292297183289,AB
2022-04-30,7.633292297183289,AB
2022-05-01,7.633292297183289,AB
2022-05-02,8.22046862773585,AB
2022-05-03,7.046115966630728,AB
2022-05-04,8.22046862773585,AB
2022-05-05,7.633292297183289,AB
2022-05-06,7.046115966630728,AB
2022-05-07,6.458939636078168,AB
2022-05-08,5.871763305525607,AB
2022-05-09,7.046115966630728,AB
2022-05-10,7.046115966630728,AB
2022-05-11,7.046115966630728,AB
2022-05-12,7.633292297183289,AB
2022-05-13,5.871763305525607,AB
2022-05-14,5.871763305525607,AB
2022-05-15,5.871763305525607,AB
2022-05-16,6.458939636078168,AB
2022-05-17,6.458939636078168,AB
2022-05-18,6.458939636078168,AB
2022-05-19,5.871763305525607,AB
2022-05-20,5.871763305525607,AB
2022-05-21,5.284586974973046,AB
2022-05-22,5.871763305525607,AB
2022-05-23,5.871763305525607,AB
2022-05-24,6.458939636078168,AB
2022-05-25,5.284586974973046,AB
2022-05-26,5.871763305525607,AB
2022-05-27,4.6974106444204855,AB
2022-05-28,4.6974106444204855,AB
2022-05-29,5.284586974973046,AB
2022-05-30,5.871763305525607,AB
2022-05-31,5.284586974973046,AB
2022-06-01,5.284586974973046,AB
2022-06-02,4.6974106444204855,AB
2022-06-03,5.284586974973046,AB
2022-06-04,4.6974106444204855,AB
2022-06-05,4.6974106444204855,AB
2022-06-06,5.284586974973046,AB
2022-06-07,5.284586974973046,AB
2022-06-08,5.284586974973046,AB
2022-06-09,5.871763305525607,AB
2022-06-10,5.871763305525607,AB
2022-06-11,5.284586974973046,AB
2022-06-12,4.6974106444204855,AB
2022-06-13,5.284586974973046,AB
2022-06-14,7.046115966630728,AB
2022-06-15,5.284586974973046,AB
2022-06-16,4.6974106444204855,AB
2022-06-17,4.110234313867925,AB
2022-06-18,3.523057983315364,AB
2022-06-19,3.523057983315364,AB
2022-06-20,4.110234313867925,AB
2022-06-21,4.110234313867925,AB
2022-06-22,4.110234313867925,AB
2022-06-23,4.110234313867925,AB
2022-06-24,3.523057983315364,AB
2022-06-25,3.523057983315364,AB
2022-06-26,3.523057983315364,AB
2022-06-27,3.523057983315364,AB
2022-06-28,4.110234313867925,AB
2022-06-29,4.6974106444204855,AB
2022-06-30,4.6974106444204855,AB
2022-07-01,4.158418953720352,AB
2022-07-02,3.57817444855007,AB
2022-07-03,3.38475961349331,AB
2022-07-04,4.932078293947394,AB
